#{"t_start": 1774445294.363113, "env_id": "None"}
r,l,t
-21.418971,61,9.065771
-18.000062,59,17.585522
-25.075069,66,26.496322
-24.065974,178,46.63912
-19.496022,123,61.254979
-17.029659,27,66.263502
-15.447765,11,69.668622
-42.890171,195,91.503029
-15.448528,14,95.18905
-39.003941,167,114.221097
-19.387167,31,119.630448
-18.569777,31,125.046358
-17.311846,27,130.060295
-19.318356,55,137.881255
-17.680827,37,143.891209
-24.212842,62,152.411287
-21.064434,46,159.324017
-17.793944,39,165.536957
-29.63256,170,184.861854
-19.868757,41,191.269186
-19.686557,37,197.28122
-15.576069,22,201.792324
-19.141373,27,206.802887
-21.906596,95,218.604285
-16.600387,35,224.418164
-19.465804,51,231.831722
-16.406941,26,236.739964
-18.041901,43,243.349575
-15.94705,25,248.17003
-17.646857,17,252.176689
-17.767612,39,258.38777
-19.184746,99,270.609856
-34.330513,322,305.150867
-16.695551,36,311.063858
-39.765202,175,330.885036
-21.101144,51,338.306123
-24.387977,119,352.525558
-21.599182,54,360.2443
-17.969832,17,364.253707
-19.58841,29,369.466242
-18.931873,52,377.274444
-21.679025,44,383.998548
-28.10436,90,395.324826
-18.769922,53,402.940382
-17.383939,15,406.747106
-17.785974,41,413.162885
-22.748147,88,424.286798
-17.396141,65,433.102668
-27.433322,86,444.019529
-15.441614,22,448.528335
-18.630626,74,458.251655
-32.814987,122,472.780722
-17.056248,18,476.866698
-16.170995,23,481.47423
-16.81576,35,487.289747
-27.834572,108,500.411745
-17.198623,48,507.519493
-28.861653,269,536.766466
-35.414842,144,553.487474
-21.797995,44,560.19207
-21.069624,56,568.111448
-19.061608,32,573.617859
-23.584124,79,583.830772
-21.578153,53,591.439874
-20.605594,142,607.963403
-17.597812,14,611.673292
-21.561743,41,618.081232
-18.880395,26,622.968254
-20.530553,43,629.575866
-19.335628,31,634.985769
-18.577989,46,641.905567
-19.209131,35,647.718582
-35.943801,186,668.651216
-19.580714,32,674.16071
-31.678806,242,700.70607
-19.363413,26,705.615063
-17.481285,26,710.521853
-20.169408,39,716.732863
-26.249964,70,726.048565
-17.284534,25,730.852391
-15.492992,19,735.039888
-16.927268,23,739.648238
-28.851398,122,754.169905
-24.11295,60,762.485256
-20.316798,33,768.093323
-19.811247,81,778.521381
-20.190131,50,785.836915
-46.270138,210,809.166037
-17.219348,39,815.381469
-21.088218,92,827.207989
-27.003801,115,841.045918
-17.580504,54,848.763107
-22.802902,79,858.981023
-17.012011,42,865.490508
-19.212973,36,871.38028
-19.273663,57,879.396506
-30.879715,102,891.917192
-17.527268,24,896.622848
-33.199248,137,912.659882
-22.547313,47,919.673118
-18.02813,60,927.981666
-19.099182,64,936.704252
-22.000395,48,944.117049
-20.227818,44,950.830074
-16.641113,43,957.444304
-17.953208,68,966.568949
-17.3202,18,970.680222
-22.491826,121,985.094213
-27.477759,147,1002.119371
-27.739625,89,1013.319059
-18.822065,47,1020.334816
-18.069379,28,1025.753339
-20.33537,41,1032.164535
-18.17982,35,1037.973789
-20.831346,46,1044.885005
-20.199795,33,1050.50216
-22.362045,54,1058.214267
-16.547394,17,1062.224856
-19.773784,81,1072.652915
-15.953495,13,1076.257639
-18.600528,35,1082.070524
-19.197542,30,1087.368048
-27.029789,121,1101.787222
-17.720256,44,1108.505976
-20.610132,37,1114.513149
-18.809117,29,1119.728888
-16.336752,17,1123.743121
-18.691248,48,1130.860063
-16.038443,24,1135.574238
-30.470128,263,1164.253098
-17.21098,24,1168.958979
-22.58764,55,1176.756659
-18.948297,34,1182.472607
-20.551869,39,1188.685091
-38.139814,162,1207.234425
-20.811788,34,1212.943847
-22.180708,45,1219.7538
-19.30319,64,1228.470755
-30.883796,148,1245.593276
-21.738208,51,1253.007589
-20.239551,37,1259.022683
-23.540285,63,1267.616921
-20.564683,96,1279.535635
-19.977679,108,1292.651264
-30.574578,111,1306.081258
-17.35878,59,1314.305331
-24.942216,69,1323.528817
-37.469678,173,1343.167835
-33.131699,125,1358.013717
-21.910005,51,1365.431468
-18.42298,26,1370.345459
-23.732486,70,1379.659397
-26.280799,74,1389.379849
-20.064557,42,1395.891055
-22.867424,52,1403.404985
-23.033052,95,1415.240361
-23.955517,76,1425.438066
-21.909869,50,1432.757902
-23.271416,53,1440.376611
-20.455721,37,1446.385063
-20.528913,41,1452.799342
-26.794323,130,1468.119265
-23.590293,58,1476.22708
-15.564555,14,1479.932163
-17.612022,32,1485.448948
-30.016976,100,1497.77766
-16.352245,25,1502.590403
-18.590097,48,1509.687088
-33.901294,134,1525.407682
-15.454619,12,1528.913557
-16.369842,30,1534.223347
-18.104778,31,1539.637749
-16.177959,22,1544.15242
-30.270606,119,1558.379178
-27.352187,99,1570.606192
-23.960509,81,1581.02282
-29.030736,126,1595.943824
-19.507221,34,1601.654043
-16.902617,28,1606.767857
-43.829435,281,1637.20585
-18.264751,81,1647.623062
-17.2471,22,1652.141377
-19.618103,42,1658.63447
-19.16278,40,1664.947016
-17.901237,30,1670.263812
-21.408552,41,1676.678026
-17.23888,35,1682.48968
-24.680091,60,1690.819391
-23.210968,96,1702.743701
-17.311823,15,1706.551333
-25.305765,70,1715.875839
-22.463741,54,1723.589056
-27.274346,149,1740.80678
-24.513758,59,1749.020967
26.586457,77,1759.334106
-22.267846,63,1767.950699
-24.838662,87,1778.973553
-25.38063,68,1788.093197
-19.847298,106,1800.990826
-24.241716,63,1809.603
-15.768669,15,1813.406888
-18.468423,34,1819.115559
-15.842545,14,1822.821124
-20.314413,38,1828.934934
-18.437532,25,1833.741503
-18.523481,20,1838.052449
-19.167068,50,1845.371358
-16.185073,19,1849.576184
-18.220685,36,1855.483799
-17.469129,27,1860.495939
-16.061811,12,1863.999701
-25.376752,67,1873.019066
-22.796395,52,1880.512028
-23.415803,64,1889.535059
-21.294726,39,1895.746036
-20.528084,43,1902.359598
-17.436752,27,1907.367211
-19.357925,40,1913.675718
-31.684844,106,1926.592119
-16.567471,17,1930.597943
-15.881821,16,1934.506717
-18.71389,57,1942.516926
-23.832643,64,1951.241629
-15.470591,11,1954.648445
-19.777261,38,1960.755749
-16.890541,48,1967.86481
-19.223574,34,1973.558747
-31.279504,112,1987.074998
-19.354527,35,1992.88722
-20.091325,47,1999.902969
-33.074865,116,2014.127192
-19.236329,27,2019.13687
-19.635353,27,2024.148261
-17.50978,17,2028.155643
-20.460185,113,2041.780938
-17.715033,15,2045.58888
-23.410196,57,2053.60406
-26.711314,89,2064.818291
-18.855435,26,2069.705343
-21.047131,77,2079.734004
-16.607198,23,2084.344879
-17.322373,44,2091.062846
-22.019561,143,2107.69702
-18.67171,36,2113.613478
-17.247878,37,2119.625459
-27.874055,93,2131.23666
-20.252176,108,2144.3565
-25.976105,200,2166.700623
-19.7619,36,2172.608833
-22.398934,93,2184.204968
-17.194041,56,2192.122001
-16.548777,37,2198.140919
-16.735109,34,2203.846713
-28.258946,145,2220.668982
-16.68648,24,2225.377179
-16.532236,26,2230.282045
-23.321212,80,2240.59233
-18.716494,30,2245.89954
-36.502797,142,2262.408865
-20.499364,50,2269.715541
-17.514935,19,2273.917788
-18.965526,32,2279.423922
-36.060793,180,2299.739583
-31.063107,145,2316.552202
-20.56635,82,2327.040229
-18.196808,45,2333.846423
-19.114924,26,2338.750204
-16.023486,16,2342.653832
