global_step,episode,episode_reward,episode_len,success,collision,mean_dist,final_dist
24,1,-22.470209,24,0,1,11.284314,11.563527
231,2,-53.748578,207,0,1,11.305215,12.375931
241,3,-16.701152,10,0,1,10.081939,9.900521
316,4,-22.695009,75,0,1,11.962201,10.992431
329,5,-19.697028,13,0,1,10.115526,10.243470
487,6,-30.022455,158,0,1,2.957752,1.767441
625,7,-31.486730,138,0,1,6.067859,5.421557
722,8,-41.696229,97,0,1,10.967992,11.433864
758,9,-18.262560,36,0,1,3.020171,2.347916
796,10,-18.439124,38,0,1,6.876200,6.297252
812,11,-18.686545,16,0,1,7.374254,7.469470
927,12,-39.686440,115,0,1,8.795424,9.726727
938,13,-18.731862,11,0,1,6.385387,6.620149
970,14,-18.496757,32,0,1,7.273331,6.782503
1075,15,-39.796837,105,0,1,6.545335,8.142651
1083,16,-17.571840,8,0,1,5.827574,5.944861
1298,17,-41.172001,215,0,1,6.775589,6.340990
1372,18,-30.052207,74,0,1,8.134924,8.058297
1412,19,-19.523268,40,0,1,4.439832,3.894492
1528,20,-44.250211,116,0,1,8.369249,10.541578
1534,21,-16.615829,6,0,1,3.307251,3.313257
1545,22,-18.322903,11,0,1,5.440868,5.474366
1607,23,-19.773334,62,0,1,10.693781,9.747654
1741,24,-36.566382,134,0,1,3.745005,3.772311
1845,25,-28.219232,104,0,1,4.668322,4.160243
2007,26,-33.100424,162,0,1,3.537103,1.906367
2031,27,-19.457827,24,0,1,3.136143,3.162902
2169,28,-49.190040,138,0,1,6.313328,8.801682
2248,29,-32.243428,79,0,1,4.127080,5.136369
2498,30,-67.184102,250,0,1,6.272026,6.713505
2538,31,-22.883681,40,0,1,5.412243,5.376411
2651,32,-34.842736,113,0,1,11.208902,11.040736
2738,33,-23.385331,87,0,1,5.453480,4.113731
2757,34,-20.390019,19,0,1,2.846463,3.208785
2795,35,-25.057529,38,0,1,13.240278,14.009138
2847,36,-24.762424,52,0,1,10.164584,10.589731
2871,37,-21.511979,24,0,1,5.520197,5.699868
2879,38,-17.331734,8,0,1,9.744205,9.846001
2932,39,-23.347920,53,0,1,6.368576,6.134452
3094,40,-41.190498,162,0,1,3.319471,4.302070
3138,41,-19.431882,44,0,1,4.052948,3.502047
3165,42,-19.874751,27,0,1,12.944403,13.037173
3235,43,-32.445721,70,0,1,9.564090,10.795230
3301,44,-28.868507,66,0,1,12.968007,13.162302
3367,45,-24.595148,66,0,1,2.820334,2.222911
3523,46,-48.009147,156,0,1,6.882355,8.326426
3543,47,-16.103798,20,0,1,5.644062,5.185467
3594,48,-28.765590,51,0,1,4.131964,4.732775
3754,49,-33.125192,160,0,1,1.989578,1.748711
3834,50,-23.380658,80,0,1,3.984648,2.735733
3992,51,-51.594915,158,0,1,5.552256,7.850891
4253,52,-61.027995,261,0,1,4.989017,6.511149
4393,53,-46.220910,140,0,1,4.065770,5.655598
4440,54,-20.832983,47,0,1,11.640204,10.941564
4449,55,-17.142089,9,0,1,3.254987,3.208887
4461,56,-19.768021,12,0,1,2.555098,2.713978
4546,57,-28.534147,85,0,1,4.816213,4.084897
4619,58,-33.413999,73,0,1,9.079769,10.241135
4632,59,-17.930189,13,0,1,8.574198,8.423079
4698,60,-32.224428,66,0,1,5.143468,6.151587
4767,61,-33.103359,69,0,1,4.917722,5.837122
4787,62,-17.468008,20,0,1,5.681339,5.336778
