#{"t_start": 1774317452.6745956, "env_id": "None"}
r,l,t
-20.204511,20,5.392441
-20.267493,26,10.299673
-62.69421,199,32.52343
-17.778285,10,35.826422
-20.17204,50,43.132565
-23.065427,28,48.240091
-31.039328,68,57.351018
-56.958229,276,87.295926
-48.83034,318,121.431045
-44.022245,151,138.848742
-46.850632,134,154.567407
-21.343621,39,160.774307
-23.300827,87,171.788967
-52.076628,273,201.425613
-69.836437,263,230.055725
-25.138162,77,240.064266
-20.477611,44,246.771997
-19.834855,17,250.775063
-32.126576,76,260.680675
-35.343998,90,271.989132
-23.225043,26,276.892121
-25.636392,48,283.997351
-19.054483,44,290.701676
-19.782217,33,296.303917
-23.185031,108,309.413447
-21.479761,37,315.416326
-27.837954,36,321.319911
-49.782196,141,337.72953
-22.480301,40,344.033772
-20.950247,27,349.037395
-19.790533,18,353.139282
-30.00194,84,363.846343
-51.194645,175,383.658469
-20.082502,33,389.262107
-50.421611,192,410.778022
-22.615297,84,421.484911
-19.101249,33,427.088135
-64.296273,217,451.104303
-18.860715,35,456.907001
-30.717143,74,466.613438
-28.210568,146,483.523805
-18.672928,13,487.127568
-22.950511,88,498.235538
-28.302445,110,511.543204
-27.765703,62,520.048648
-36.557531,97,532.060872
-22.264649,32,537.5627
-142.003955,500,589.895667
-29.944552,55,597.700639
-23.988306,125,612.813477
-22.853825,28,617.916652
-37.961893,81,628.322107
-67.711348,231,653.738317
-50.557779,154,671.450003
17.897107,130,686.759903
-50.810092,164,705.470919
-30.507583,93,717.38439
-48.880922,158,735.491735
-18.137281,13,739.093495
-21.641519,95,750.899904
-22.580013,63,759.506238
-22.657853,80,769.811563
-20.923426,68,779.218538
-35.634045,99,791.425782
-20.806072,46,798.33107
-42.214795,116,812.240388
-20.365724,23,816.842767
-21.801335,25,821.645514
-17.274258,7,824.648477
-21.154091,42,831.15126
-18.112643,19,835.354322
-30.661464,58,843.459517
-27.560593,38,849.562531
-21.60504,21,853.966806
-70.834664,269,883.182063
-32.437704,64,891.8885
-24.650586,38,897.992744
-22.70345,23,902.596392
-28.832078,98,914.704966
-29.214432,90,926.011053
-16.649938,11,929.413737
-29.86677,81,939.820351
-50.840455,177,959.833151
-37.909082,82,970.338272
-20.025126,33,976.242945
-45.132355,161,994.651988
-16.982176,8,997.754806
-21.017731,23,1002.35718
-21.035991,17,1006.360723
-34.334822,145,1023.170916
-16.685789,16,1027.073037
-21.492754,62,1035.57841
-19.416083,41,1041.984367
-48.247138,157,1059.995104
-18.167074,19,1064.196769
-54.122171,181,1084.61091
-54.937212,186,1105.524225
-27.378336,86,1116.430599
-31.711876,97,1128.440014
-21.406998,44,1135.144688
-30.317256,85,1145.953915
-27.725016,95,1157.764038
-28.708365,90,1169.075564
-26.68426,82,1179.882786
-65.64332,275,1209.70921
-101.289703,500,1262.044272
-30.745874,64,1270.748279
-119.830603,500,1323.079402
-60.552502,351,1360.503214
-24.824003,34,1366.207177
-22.534576,36,1372.409558
-22.943964,55,1380.214567
-25.042815,100,1392.523226
-49.934397,187,1413.535067
-28.031658,78,1423.64065
-43.454687,131,1439.051849
-52.479008,201,1461.464652
-22.67746,64,1470.169362
-21.282073,18,1474.27153
-16.27644,9,1477.475157
-40.951335,154,1495.184544
-18.043217,15,1498.987006
-26.254241,82,1509.493789
-21.562018,29,1514.696601
-28.858835,95,1526.506629
-20.237152,17,1530.808054
-21.762652,91,1542.215345
-19.537492,46,1549.121152
-34.862747,75,1558.927271
-40.126559,168,1578.039401
-29.726104,120,1592.348863
-27.084394,49,1599.556849
-28.816512,53,1607.160971
-20.169069,19,1611.362148
-82.162178,318,1645.485898
-29.849561,55,1653.290826
-33.023666,77,1663.297945
-18.722522,33,1668.902291
-24.856379,44,1675.605621
-19.717766,79,1685.812014
-20.623295,48,1692.917249
-31.945881,76,1702.823243
-58.770745,231,1728.239152
-31.360242,70,1737.545828
-38.335497,94,1749.253681
-60.240483,212,1772.767227
-84.073042,269,1802.287794
-18.62221,9,1805.490398
-43.621864,151,1822.9018
-33.542997,76,1832.807603
-19.797045,16,1836.709131
-19.982615,28,1841.812626
-43.479118,169,1861.024426
-19.717083,31,1866.428937
-33.790972,82,1876.937441
-17.620609,14,1880.638604
-44.363977,121,1895.048813
-52.578945,150,1912.358732
-20.643187,25,1917.162179
-29.468762,83,1928.067841
-31.640988,64,1936.754098
-55.558307,212,1960.281947
-53.708509,167,1979.304006
-47.407085,133,1994.923382
24.430615,75,2004.739677
-17.075278,22,2009.248685
-41.616137,113,2022.866624
-62.90931,336,2058.805658
-23.853124,62,2067.313469
-16.109863,6,2070.218144
-50.640114,138,2086.334603
-33.268983,97,2098.347306
-16.937177,8,2101.451438
-17.089248,12,2104.956681
-63.20754,202,2127.477437
-20.814831,38,2133.567776
-35.160253,77,2143.581608
-18.746639,38,2149.686267
-56.027383,341,2186.131032
-20.610936,37,2192.138624
-22.293229,44,2198.84852
-25.159096,41,2205.255501
-33.880853,92,2216.773345
-23.534033,38,2222.880013
-20.217029,19,2227.084255
-18.997452,10,2230.386446
-52.627313,224,2255.119667
-23.726678,46,2262.026003
-40.444592,115,2275.846212
-37.803123,100,2288.159094
-22.956764,65,2296.968561
-20.734335,18,2301.07619
-30.706883,61,2309.484088
-25.394231,29,2314.694498
-28.350418,55,2322.482243
-26.247879,104,2335.200665
-28.831947,53,2342.806961
-38.72866,86,2353.715481
-18.894978,44,2360.425602
-17.823358,11,2363.829631
-17.140207,10,2367.133787
-17.752531,7,2370.136348
-18.414942,23,2374.741014
-19.754267,20,2379.046225
-47.09746,192,2400.563661
-47.652935,179,2420.788074
-41.966224,117,2434.801598
-41.070084,101,2447.214085
-29.775861,54,2454.924819
-31.81831,142,2471.443567
-20.144864,39,2477.649029
-19.827248,30,2482.952967
-24.3828,69,2492.162924
-28.53882,56,2500.177081
-19.120986,19,2504.362006
